thread_number,TITLE
thread 1,who declares polio  public health emergency   update 
thread 1,who warns of global polio emergency
thread 1,polio resurgence is an  extraordinary event   could unravel three decade fight for     
thread 1,u n  declares polio emergency
thread 1,polio emergency 1
thread 1,polio outbreaks a public health emergency  world health organization
thread 1,un agency declares global health emergency to stem potential resurgence of polio
thread 1,un declares world health emergency as polio spreads in 10 countries
thread 1,who expresses concern over polio becoming rampant
thread 1,who declares international health emergency on polio spread
thread 1,world health organisation warns of polio health emergency
thread 1,who slaps travel restrictions on pakistan over polio fears
thread 1,spread of polio is an international public health emergency  world health     
thread 1,who warns of international polio emergency
thread 1,polio spreading at high rates  who says  60  of cases in 2013 resulted     
thread 1,who  polio outbreak a  public health emergency 
thread 1,un says the spread of polio is now a world health emergency
thread 1,who issues an alert over spread of polio
thread 1,polio  who imposes strict travel restrictions on pakistani nationals
thread 1,polio s spread a global health emergency  who warns
thread 1,every old disease is new again
thread 1,polio re emerges in many countries
thread 1,who declares health emergency on polio
thread 1,polio makes alarming comeback  world health organization warns
thread 1,who declares public health emergency
thread 1,who declares polio  public health emergency  after new cases in 10 countries
thread 1,curtailing polio  who recommends travel restrictions on pakistan
thread 1,world health organization says spread of polio a global health emergency
thread 1,spread of polio now an world health emergency
thread 1,who declares polio a global emergency as conflicts fuel spread of virus
thread 1,polio declared emergency as conflicts fuel virus spread
thread 1,polio virus  who recommends travel restrictions on pakistan
thread 1,pakistan slapped with travel restrictions over failure to control polio
thread 1,who puts travel curbs on pakistan
thread 1,target board unseats president and ceo steinhafel  
thread 1,target ceo leaves following epic breach
thread 1,target s ceo is out in wake of big security breach
thread 1,target s chairman and ceo out in wake of breach
thread 1,breach fallout claims target ceo
thread 1,target s ceo is out in wake of big card security breach
thread 1,target ceo resigns as fallout from data breach continues
thread 1,target ceo resigns in wake of massive data breach
thread 1,gregg steinhafel is the latest and most prominent causality of the data breach
thread 1,what s news   
thread 1,target ceo steinhafel out in wake of data breach
thread 2,target s ceo ousted
